species,plantType,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,ecoregion,clonality,ramet,genet,Country,temporalReplication,start,end,spatialReplication,dimension,criteriaSize,criteriaStage,criteriaAge,criteria
Aquilegia_chrysantha,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Hemicryptophyte,MON,Genet,NA,NA,USA,12,1995,2006,1,5,Rosette number,Yes,Yes,S.ST.A
Aquilegia_sp,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Hemicryptophyte,MON,Genet,NA,NA,USA,Simulation,Simulation,Simulation,1,5,Rosette number,Yes,NA,S.ST
Arabis_fecunda,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,TGS,Genet,NA,NA,USA,7,1987,1993,3,4,Rosette number,NA,NA,S
Araucaria_cunninghamii,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Araucariaceae,Megaphanerophyte,TMB,Genet,NA,NA,PNG,3,1975,1977,1,10,height & DBH,NA,NA,S
Araucaria_hunsteinii,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Araucariaceae,Megaphanerophyte,TMB,Genet,NA,NA,PNG,NA,NA,NA,1,8,DBH,NA,NA,S
Araucaria_laubenfelsii,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Araucariaceae,Megaphanerophyte,TMB,Genet,NA,NA,NCL,11,1995,2005,6,4,DBH,NA,NA,S
Arctophila_fulva_var_pendulina,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Geophyte,BOR,Ramet,NA,NA,FIN,8,1992,1999,1,3,Patch size (m_),NA,NA,S
Ardisia_elliptica,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Myrsinaceae,Nanophanerophyte,TMB,Genet,NA,NA,USA,3,1999,2001,5,8,Height,Based on size,NA,S
Ardisia_escallonioides,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Myrsinaceae,Nanophanerophyte,TMB,Genet,NA,NA,USA,3,1992,1994,3,8,Height & DBH,Based on size,NA,S
Arisaema_serratum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Alismatales,Araceae,Geophyte,TBM,Genet,NA,NA,JPN,6,1981,1986,1,19,Pseudostem diameter,NA,NA,S
Arisaema_triphyllum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Alismatales,Araceae,Helophyte,TBM,Genet,NA,NA,USA,3,1977,1979,2,7,Leaf area,Yes,NA,S.ST
Aristida_bipartita,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Geophyte,TGS,Genet,NA,NA,ZAF,5,1985,1989,2,3,Tuft circumference,NA,NA,S
Armeria_maritima,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Plumbaginaceae,Hemicryptophyte,TBM,Genet,NA,NA,BEL,5,1975,1979,1,5,basal foliar tuft diameter,NA,Based on S,S
Arnica_angustifolia,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,BOR,Ramet,NA,NA,FIN,9,1996,2004,6,6,"Length (mm) of the longest leaf, width (m) of the widest leaf",Yes,NA,S.ST
Artemisia_genipi,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TCF,Genet,NA,NA,AUT,3,2004,2006,2,5,number rosettes,Based on S,NA,S
Asarum_canadense,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Piperales,Aristolochiaceae,Geophyte,TBM,Ramet,NA,NA,CAN,7,1989,1995,2,6,Leaf width,Yes,NA,S.ST
Asclepias_meadii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Gentianales,Apocynaceae,Geophyte,TGS,Genet,NA,NA,USA,6,1995,2000,2,6,Yes,Yes,NA,S.ST
Aspasia_principissa,Epiphyte,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Epiphyte,TMB,Ramet,NA,NA,PAN,8,1997,2004,1,7,Pseudobulb length,NA,NA,S
Asplenium_adulterinum,Fern,Plantae,Pteridophyta,NA,NA,Pteridopsida,Blechnales,Aspleniaceae,Epiphyte,TMB,Genet,NA,NA,CZE,4,2004,2007,6,4,Leaf  and leaf size,NA,NA,S
Asplenium_cuneifolium,Fern,Plantae,Pteridophyta,NA,NA,Pteridopsida,Blechnales,Aspleniaceae,Epiphyte,TMB,Genet,NA,NA,CZE,4,2004,2007,4,4,Leaf  and leaf size,NA,NA,S
Aster_amellus,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,CZE,4,2002,2005,2,3,NA,Yes,NA,ST
Astragalus_alopecurus,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,TCF,Genet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Astragalus_cremnophylax_var_cremnophylax,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,DES,Genet,NA,NA,USA,7,1988,1994,1,5,Canopy area,Yes,NA,S.ST
Astragalus_michauxii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,3,2008,2010,3,4,Stem height,NA,NA,S
Astragalus_peckii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,DES,Genet,NA,NA,USA,3,2006,2008,2,5,Width at the widest diameter,NA,NA,S
Astragalus_scaphoides,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,DES,Genet,NA,NA,USA,8,1986,1993,2,4,Leaf number,Yes,NA,S.ST
Astragalus_tyghensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,TGS,Genet,NA,NA,USA,9,1991,1999,5,5,Stem length,Yes,NA,S.ST
Astrocaryum_aculeatissimum,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Mesophanerophyte,TMB,Genet,NA,NA,BRA,3,2005,2007,NA,5,NA,Yes,NA,ST
Astrocaryum_mexicanum,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Mesophanerophyte,TMB,Genet,NA,NA,MEX,7,1975,1981,1,14,NA,Yes,NA,ST
Atriplex_acanthocarpa,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Nanophanerophyte,DES,Genet,NA,NA,MEX,4,1995,1998,1,5,Canopy volume,Based on size,NA,S
Atriplex_canescens,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Nanophanerophyte,DES,Genet,NA,NA,MEX,4,1995,1998,1,5,Canopy volume,Based on size,NA,S
Atriplex_vesicaria,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Nanophanerophyte,DES,Genet,NA,NA,AUS,8,1987,1994,9,4,Canopy volume,Based on size,NA,S
Attalea_humilis,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Mesophanerophyte,TMB,Genet,NA,NA,BRA,4,1996,1999,3,5,NA,Yes,NA,ST
Austrostipa_aristiglumis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TGS,Genet,NA,NA,AUS,3,2006,2008,1,3,NA,Yes,NA,ST
Avicennia_germinans,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Avicenniaceae,Mesophanerophyte,MAN,Genet,NA,NA,VEN,3,1999,2001,1,7,Height & DBH,Based on size,NA,S
Avicennia_marina,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Avicenniaceae,Mesophanerophyte,TBM,Genet,NA,NA,NZL,2,1980,1981,6,7,Volume canopy,Yes,NA,S.ST
Balsamorhiza_sagittata,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TCF,Ramet,NA,NA,USA,6,2002,2007,2,5,Leaf number,Based on size,NA,S
Banksia_ericifolia,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Proteales,Proteaceae,Nanophanerophyte,TGS,Genet,NA,NA,AUS,4,1980,1983,1,4,NA,NA,Yes,A
Bertholletia_excelsa,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Lecythidaceae,Megaphanerophyte,TMB,Genet,NA,NA,BOL,5,1996,2000,2,17,DBH,Yes,NA,S.ST
Betula_nana,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Betulaceae,Nanophanerophyte,TUN,Genet,NA,NA,USA,2,1985,1986,1,4,Branch ?,NA,NA,S
Boltonia_decurrens,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Chamaephyte,TGS,Genet,NA,NA,USA,11,1990,2000,4,3,Rosette diameter,Yes,NA,S.ST
Borassus_aethiopum,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Megaphanerophyte,TGV,Genet,NA,NA,CIV,3,1996,1998,2,5,NA,Yes,NA,ST
Borderea_chouardii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Dioscoreales,Dioscoreaceae,Geophyte,MED,Genet,NA,NA,ESP,8,1995,2002,1,6,NA,Yes,NA,ST
Borderea_pyrenaica,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Dioscoreales,Dioscoreaceae,Geophyte,MED,Genet,NA,NA,ESP,1,1992,1992,3,7,NA,NA,Yes,A
Boswellia_papyrifera,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Burseraceae,Mesophanerophyte,TGV,Genet,NA,NA,ETH,3,2007,2009,2,12,"DBH, RCD",NA,NA,S
Bothriochloa_insculpta,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Chamaephyte,TGV,Ramet,NA,NA,ZAF,5,1985,1989,2,4,Tuft circumference,NA,NA,S
Bothriochloa_ischaemum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TGV,Ramet,NA,NA,USA,3,1998,2000,1,5,Tiller number,NA,NA,S
Bouteloua_rigidiseta,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TGV,Ramet,NA,NA,USA,5,1982,1986,1,5,Tiller number,NA,NA,S
Brassica_insularis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Chamaephyte,MED,Genet,NA,NA,FRA,10,2000,2009,4,3,NA,NA,Yes,A
Braya_fernaldii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Chamaephyte,BOR,Genet,NA,NA,CAN,3,2003,2005,2,8,Number of flowering stalks,Based on size,NA,S.ST
Braya_longii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Chamaephyte,BOR,Genet,NA,NA,CAN,3,2003,2005,1,8,Number of flowering stalks,Based on size,NA,S.ST
Brosimum_alicastrum,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Moraceae,Megaphanerophyte,TDB,Genet,NA,NA,MEX,NA,NA,NA,1,13,DBH,Yes,NA,S.ST
Bursera_glabrifolia,Tree,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Burseraceae,Mesophanerophyte,TDB,Genet,NA,NA,MEX,3,2001,2003,5,5,Height; DBH,Yes,NA,S.ST
Calamagrostis_canescens,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TBM,Ramet,NA,NA,RUS,NA,NA,NA,2,10,NA,Yes,Yes,ST.A
Calathea_marantifolia,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Zingiberales,Marantaceae,Geophyte,TMB,Genet,NA,NA,CRI,2,2005,2006,7,10,Leaf size,NA,NA,S
Calathea_micans,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Zingiberales,Marantaceae,Geophyte,TMB,Ramet,NA,NA,CRI,3,1990,1992,1,10,NA,Yes,NA,ST
Calathea_ovandensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Zingiberales,Marantaceae,Geophyte,TMB,Ramet,NA,NA,MEX,6,1982,1987,1,8,Leaf area & length,Yes,NA,S.ST
Callitris_intratropica,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Cupressaceae,Megaphanerophyte,TGV,Ramet,NA,NA,AUS,NA,NA,NA,1,6,DBH,NA,NA,S
Calluna_vulgaris,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Ericaceae,Chamaephyte,TCF,Ramet,NA,NA,GBR,11,1979,1989,1,5,NA,Yes,Yes,ST.A
Callycophyllum_spruceanum,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Gentianales,Rubiaceae,Megaphanerophyte,TMB,Genet,NA,NA,BRA,3,2003,2005,1,47,DBH,NA,NA,S
Calocedrus_decurrens,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,TCF,Genet,NA,NA,USA,21,1983,2003,15,5,DBH,NA,NA,S
Calocedrus_macrolepis,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Cupressaceae,Megaphanerophyte,TMB,Genet,NA,NA,VNM,3,2003,2005,1,14,Height & DBH,NA,NA,S
Calochortus_albus,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TGS,Genet,NA,NA,USA,3,1981,1983,1,4,Basal leaf maximum width,NA,NA,S
Calochortus_lyallii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TGS,Genet,NA,NA,CAN,5,1996,2000,3,9,"width of basal leaf, flowering buds",Yes,Yes,S.ST.A
Calochortus_macrocarpus,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TCF,Genet,NA,NA,CAN,5,1996,2000,3,9,"width of basal leaf, flowering bud number",Yes,Yes,S.ST.A
Calochortus_obispoensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TGS,Genet,NA,NA,USA,3,1981,1983,1,3,Basal leaf maximum width,NA,NA,S
Calochortus_pulchellus,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,MED,Genet,NA,NA,USA,3,1981,1983,1,4,Basal leaf maximum width,NA,NA,S
